top_k_indices
"[1252, 243, 2044, 2010, 1689, 1836, 2435, 1681, 479, 2398]"
"[1252, 637, 1571, 503, 631, 1062, 1702, 1127, 197, 417]"
"[1535, 604, 810, 967, 1319, 1506, 1151, 404, 1630, 1522]"
"[1252, 2275, 2006, 1845, 1538, 1239, 1386, 1152, 1225, 862]"
"[1252, 242, 953, 1774, 2408, 1533, 583, 2495, 337, 2366]"
"[735, 1741, 2352, 655, 1750, 1578, 2032, 1423, 469, 1895]"
"[184, 1380, 895, 884, 1333, 1827, 501, 1349, 864, 1114]"
"[1252, 637, 1571, 503, 1062, 1028, 897, 1397, 197, 158]"
"[634, 1572, 1029, 898, 1399, 156, 1511, 286, 632, 1796]"
"[1524, 260, 1824, 565, 1539, 1738, 448, 605, 716, 374]"
"[447, 670, 236, 495, 839, 1869, 1020, 2331, 264, 933]"
"[2372, 1104, 2432, 2336, 2339, 1589, 1624, 163, 2370, 2463]"
"[1, 2485, 2372, 1589, 728, 891, 2428, 267, 890, 874]"
"[1, 728, 163, 2484, 2467, 267, 2284, 2429, 2463, 2465]"
"[1252, 2010, 2320, 2059, 1670, 1410, 2008, 2495, 1238, 63]"
"[1252, 1822, 909, 1621, 2495, 166, 690, 1238, 1505, 1389]"
"[193, 626, 169, 2130, 919, 2129, 1007, 2355, 2138, 1963]"
"[1524, 1824, 816, 1539, 1738, 260, 374, 565, 1208, 1611]"
"[1252, 1267, 2007, 253, 2050, 1211, 341, 1238, 281, 1692]"
"[1252, 213, 1764, 1101, 881, 361, 2054, 1106, 1980, 1198]"
"[651, 1750, 378, 119, 2388, 753, 2198, 2334, 1138, 2241]"
"[1252, 2026, 1678, 3, 2025, 2319, 647, 1166, 1048, 2469]"
"[1252, 38, 2022, 3, 2328, 840, 1264, 1473, 1753, 1048]"
"[1252, 38, 2020, 3, 2328, 840, 1265, 1471, 1753, 1048]"
"[4, 1242, 2178, 305, 2170, 2296, 1429, 665, 134, 2102]"
"[676, 537, 411, 653, 564, 1612, 1339, 487, 741, 896]"
"[538, 119, 651, 1869, 2406, 1983, 1333, 933, 1820, 1749]"
"[2032, 34, 389, 1754, 758, 22, 738, 1181, 1895, 769]"
"[1140, 681, 872, 2236, 771, 2116, 492, 2497, 1606, 56]"
"[1140, 492, 890, 729, 872, 2463, 727, 1102, 1049, 2236]"
"[1589, 267, 1969, 76, 2484, 2281, 729, 1752, 872, 1008]"
"[2463, 1, 2370, 1589, 1752, 1972, 728, 874, 1160, 2484]"
"[2032, 34, 1181, 22, 389, 1754, 758, 183, 769, 738]"
"[1252, 1118, 484, 1483, 1672, 1182, 2008, 695, 2010, 1733]"
"[646, 1734, 520, 746, 976, 611, 2326, 1173, 550, 2444]"
"[1043, 155, 1647, 2251, 689, 2249, 447, 344, 174, 1020]"
"[584, 128, 582, 1420, 353, 11, 901, 2347, 224, 718]"
"[1252, 583, 127, 1419, 1481, 166, 354, 484, 1672, 1077]"
"[174, 264, 447, 839, 1647, 2251, 933, 344, 1020, 670]"
"[1252, 1362, 166, 1256, 1505, 1397, 995, 1064, 690, 449]"
"[2223, 1363, 168, 1504, 1399, 994, 1065, 448, 712, 898]"
"[1690, 1503, 450, 896, 31, 868, 885, 157, 516, 2258]"
"[401, 1540, 62, 363, 895, 1723, 2325, 1956, 274, 832]"
"[1420, 584, 2041, 2347, 128, 353, 322, 224, 582, 901]"
"[1252, 449, 158, 1419, 583, 1338, 897, 833, 978, 166]"
"[1638, 448, 156, 1340, 898, 836, 980, 168, 30, 1868]"
"[2494, 184, 1380, 884, 2388, 651, 1349, 1220, 1661, 1333]"
"[1773, 1990, 725, 1641, 2068, 1938, 401, 1717, 561, 1802]"
"[483, 1507, 964, 82, 285, 1615, 577, 1026, 33, 398]"
"[700, 1802, 1652, 1275, 1995, 1938, 781, 725, 2055, 1722]"
"[1252, 1307, 603, 279, 934, 1256, 866, 748, 927, 833]"
"[910, 1987, 1736, 1460, 2310, 1853, 87, 2200, 1715, 1175]"
"[1252, 909, 1985, 1190, 1735, 791, 55, 1546, 732, 1459]"
"[1252, 2438, 853, 1761, 79, 83, 2291, 1882, 1550, 32]"
"[77, 577, 2024, 416, 483, 1507, 964, 446, 196, 1615]"
"[1252, 2435, 498, 1550, 1308, 1310, 1538, 2007, 2044, 9]"
"[1252, 1397, 978, 1867, 1028, 1985, 287, 953, 909, 29]"
"[1399, 980, 1868, 1511, 1029, 286, 30, 1405, 898, 103]"
"[1729, 1292, 1821, 896, 981, 1120, 1390, 31, 157, 1087]"
